8/2010, 37
9/2010, 19
10/2010, 31
11/2010, 25
12/2010, 14
1/2011, 27
2/2011, 23
3/2011, 54
4/2011, 32
5/2011, 49
6/2011, 41
7/2011, 30
8/2011, 40
9/2011, 26
10/2011, 37
11/2011, 35
12/2011, 13
1/2012, 29
2/2012, 100
3/2012, 39
4/2012, 86
5/2012, 72
6/2012, 60
7/2012, 59
8/2012, 39
9/2012, 44
10/2012, 64
11/2012, 87
12/2012, 88
1/2013, 110
2/2013, 72
3/2013, 115
4/2013, 116
5/2013, 133
6/2013, 150
7/2013, 129
8/2013, 204
9/2013, 109
10/2013, 74
11/2013, 51
12/2013, 60
1/2014, 101
2/2014, 79
3/2014, 60
4/2014, 67
5/2014, 113
6/2014, 1180
7/2014, 281
8/2014, 211
9/2014, 256
10/2014, 1124
11/2014, 123
12/2014, 99
1/2015, 92
