8/2010, 230
9/2010, 316
10/2010, 249
11/2010, 297
12/2010, 59
1/2011, 143
2/2011, 173
3/2011, 660
4/2011, 773
5/2011, 516
6/2011, 1038
7/2011, 658
8/2011, 436
9/2011, 396
10/2011, 484
11/2011, 419
12/2011, 572
1/2012, 772
2/2012, 656
3/2012, 786
4/2012, 1009
5/2012, 785
6/2012, 603
7/2012, 986
8/2012, 584
9/2012, 356
10/2012, 249
11/2012, 638
12/2012, 499
1/2013, 895
2/2013, 324
3/2013, 917
4/2013, 867
5/2013, 618
6/2013, 675
7/2013, 642
8/2013, 672
9/2013, 860
10/2013, 744
11/2013, 276
12/2013, 352
1/2014, 386
2/2014, 921
3/2014, 654
4/2014, 614
5/2014, 680
6/2014, 8363
7/2014, 1868
8/2014, 2063
9/2014, 326
10/2014, 4453
11/2014, 1711
12/2014, 1640
1/2015, 1660
